Code,Description
21042822,Phidisanang Forwarding Pty Ltd
01251883,Atrax Logistics SA Pty Ltd
ZZZ00091,TNS Freight Consolidation CC
01034622,Robeck International Freight SA Pty Ltd
00626166,Pyramid Freight Pty Ltd
20512522,SU Logistics
20558294,Gotrans Freight Services
00779722,P & P Shipping CC T/A Robin Shipping
00977158,Transmedit Forwarding Pty Ltd
00094481,Lochhead White
21175608,Uniclear Logistics (Pty) Ltd
01283324,Cargo Networking CC
20128302,YZB Clearing and Forwarding CC
ZZZ00103,TWC Freight Pty Ltd
20888264,Market Demand Trading
20183984,New South Africa Shipping
00572399,Spectrum Shipping Ltd
21372983,Crane Worldwide Logistics South Africa Pty Ltd
20800577,Cargo-Logix Pty Ltd
20760988,Sinadad Logistics CC
20174390,Freeport Shipping
ZZZ00120,Portco SA (Pty) Ltd
ZZZ00112,Tidal Shipping (Pty) Ltd
ZZZ00046,S2 Logistics CC
ZZZ00008,Haba-Sped Logistics SA
ZZZ00068,Sabelo Logistics CC
01132593,Sebenza Freight Services Pty Ltd
01438924,F.H. Bertling Logistics Pty Ltd
20609542,Seatrans Logistics Pty Ltd
ZZZ00032,R.B. Freight Management (Pty) Ltd
01849016,MS Cargo Logistics International Pty Ltd
00426789,DHL International Pty Ltd
00727778,Clearfreight (Pty) Ltd
01644572,MOL South Africa (Pty) Ltd
21137700,Relay Customs Logistics Pty Ltd
ZZZ00001,World Cargo Services Pty Ltd
00523864,Swiftair International CC
00988892,Siren Freight CC
ZZZ00087,Richards Logistics CC
00382795,Transworld Freight CC
20738233,888 Shipping and Container Services Pty Ltd
21367190,Global Aerotech Pty Ltd
ZZZ00055,Rapsol Twenty One CC
00598833,MSC Logistics (Pty) Ltd
00941490,Seaboard International Trading Company Pty Ltd
01652310,Boyd Boss Freight Management Pty Ltd
21275896,Bel-France Xpress Logistics (Pty) Ltd
20388304,R and R Air Services CC
01585697,Sirpat Investments CC
21325807,Big World Freight Services (Pty) Ltd
20146489,Famous Pacific Shipping CC
00101566,Schenker SA Pty Ltd
20647548,Fourway Logistics Solutions (Pty) Ltd
21082685,DAS Global Logistics (Pty) Ltd
21242579,Thembani Shipping Pty Ltd
20285263,Africa Union Transport Pty Ltd
ZZZ00025,Seatram Sea & Air (Pty) Ltd
20449292,Triad Trading Pty Ltd
ZZZ00042,Paccon Logistics SA (Pty) Ltd
20449470,Balanced Solutions Pty Ltd
20380095,Triple C Freight Pty Ltd
01768503,Cargo Compass SA (Pty) Ltd
01395406,Natco SA International Transports Pty Ltd
01871019,Ceva Logistics SA Pty Ltd
00505655,Geodis Wilson (SA) (Pty)Ltd
01759122,Jupiter Customs Clearing Service
00115027,ADB Mcgregor & Company
20101438,Cargo Dynamics CC
20289056,Poplar Trading 77 CC
00436236,Pennant Freight Pty Ltd
00625038,Hellmann Worldwide Logistics Pty Ltd
20846611,Trioptimum Logistics JNB Pty Ltd
20688100,PTR Logistics CC
ZZZ00002,International Liner Agencies
01120111,Groupair SA Pty Ltd
01132178,Expeditors International
01846467,London Logistics Pty Ltd
00394814,Courier Local & International Pty Ltd t/a Airfreight Africa
20611732,Trade Mixers 20 CC
20334861,Seven Seas Freight CC
20755578,ICM Clearing and Forwarding Pty Ltd
ZZZ00122,Seacon NVOCC (Pty) Ltd
ZZZ00102,International Forwarding Services JNB Pty Ltd
01466631,Pro-Logistics Forwarding (Pty) Ltd
00300583,Heneways Freight Services Pty Ltd
ZZZ00072,Victory Freight Services
01249758,Express Link Cargo South Africa
01332752,Chalba Freight Brokers
00615068,Turners Shipping (Pty) Ltd
21440506,Lesawave (Pty) Ltd
20794812,Afro-Asian Logistics SA Pty Ltd
ZZZ00118,AMG Freight Logistics CC
20633874,Aviumkhumbi Cape Pty Ltd
00299103,Kuehne & Nagel (Pty) Ltd
20446609,Blue Sky Logistics Pty Ltd
ZZZ00110,4 Ways Logistics CC
21254711,Emiac Pty Ltd
01279964,Mondeo Express Freight (Pty) Ltd
21434256,Imperial Managed Logistics (Pty) Ltd
20226920,Monachus Project Logistics
21224742,LCL AND AIR CARGO MOVERS
21272130,V and E Freight
01483070,Loonat MSE t/a Advance Forwarders
21093163,E And F Clearing Consultants And Logistics Cc
01376322,Sebenza Forwarding & Shipping Pty Ltd
21105002,Asia Pacific Cargo Pty Ltd
ZZZ00105,Rolyn Logistics Pty Ltd
ZZZ00049,Global Star Shipping CC
00748587,Voigt Shipping
00534679,Kintetsu World Express SA Pty Ltd
20805757,Aeromarine Freight Services CC
ZZZ00075,Jongozi Freight (Pty) Ltd
21252141,General Express Forwarding Company SA Pty Ltd
21266387,Avicape (Pty) Ltd
21239994,Shipping and Sourcing CC
01162538,Afriglobal Freight CC
00703064,Toll Global Forwarding SA
01394043,Savino Del Bene South Africa Pty Ltd
ZZZ00111,Dagiva Logistics (Pty) Ltd
20272774,TA Trans CC
21302353,TBE Freight Logistics
21326269,Taylored Logistics Pty Ltd
01044457,Intercargo Forwarding Pty Ltd
21503004,VDM Cargo Solutions (Pty) Ltd
ZZZ00034,Renaissance Storage Pty Ltd
ZZZ00117,African Seas CC
01644068,GAC Shipping (SA) (Pty) Ltd
01929371,SNK Consulting CC
01351925,General Shipping Services (Pty) Ltd
21071617,Cairlyon Freight CC
00476641,Sabila Air and Sea Pty Ltd
01462571,SRP Shipping (Pty) Ltd
ZZZ00026,Nessi International Freight Consultants
ZZZ00119,Marexport Pty Ltd
ZZZ00108,Valotone 146 CC
20421721,International Forwarding Services KZN Pty Ltd
20379616,DJM Global Logistics CC
01796636,Rohlig-Grindrod (Pty) Ltd
20085460,Temoore Freight Agency CC t/a DN Freight
ZZZ00116,AFI Logistics Pty Ltd
00298913,Tibbett and Britten T/A Unifast
ZZZ00006,United Maritime Logistics
20330149,Glasshouse Trading 109 Pty Ltd T/A  TW Logistics
01699070,The Amiss Family Trust
01628153,M Squared World Of Shipping CC
00458092,Eagle Freight (Pty) Ltd
ZZZ00045,Chitina Seven Trading CC
ZZZ00003,RIOL t/a  Thrutainers Int.
01405255,Compass Logistics CC
00633730,United Shipping CC
00469697,A. Hartrodt South Africa (Pty) Ltd
ZZZ00015,Aeroaqua CC D/O CHC Resources Pty Ltd
21304062,CMA CGM Shipping Agencies SA Pty Ltd
ZZZ00073,Akata Trading CC
00491010,Meihuizen Freight Pty Ltd
00073842,Rennies Ships Agency (Pty) Ltd
00351337,Forward Air and Sea Pty Ltd
21562323,Lenaka Logistics Clearing Agent
ZZZ00100,Feltra Pty Ltd
00589002,Project Freight CC
20324352,Cosmic Gold Trading 140CC T/A MAclearing & forwarding
20623926,Paccon Logistics SA (Pty) Ltd
00689758,Global Trans Shipping CC
ZZZ00104,Asian Forwarding Service Pty Ltd
20405876,CPR Freight Management CC
ZZZ00077,DBC Logistics CC
00518675,JAS Forwarding SA Pty Ltd
01447019,Excel Cargo Services
20594645,AVI Umkhombi Freight Agents Pty Ltd
00838462,Access Freight International
20689933,Active Freight Solutions CC
21138277,Dynalog (Pty) Ltd
00414374,Premier Freight Pty Ltd
01622309,Johannesburg Express Cargo CC
01436751,Amfi Agencies CC
01794935,Logisticor (Pty) Ltd
21350876,Qocir CC
21288702,Ncwaba Logistics
20402664,Nungufreight International (Pty) Ltd
21637496,Simba Africa Maritime (Pty) LTD
21629781,TVBK Go-BBBEE
21638593,Mbee Logistics  
21115619,USL Shipping Pty Ltd  
21122754,Pantos Logistics
21591649,Wiss Clearing And Forwarding
21661932,Access World (Durban)
20127451,Seascape Freight And Logistics 
20471430,Royalty Logistics CC
21652551,Swytnys Trading And Projects 
21457416,Samsung SDS Global SCL South Africa
21615978,A Shine Imports And Exports
21673328,Lehakoe Freight And Customs Consultancy 
01936512,Kapele Freight & Logistics Serv.
21694439,Seguro Clearing And Forwarding
21602729,SVS International Trading And Projects 
21701742,S A Landside Logistics 
21652241,Linkednet Freight And Global Business 
21685821,Inter Trade Freight Services  
21692711,Skylink Wholesale Forwarding 
01507219,Astrad Trading
21705489,N S Forwarding
21504353,Sept Mers (Pty) Ltd
21383569,Two Oceans International Import and Export 
21129384,ABC Kings 
20141576,Manuchar South Africa 
21418708,Ke-Sebo Trading 
21141161,Owakhe RLS Pty Ltd
21299096,Trans Universal Consolidators 
21752601,The Logistic Company 
21742356,Quadreco Trading Pty Ltd
21788611,Mellow Mod Holdings 
ZZZ00126,Trifoglio International Trading 
00298719,Mentor Shipping Agency
00871458,Johnny'S Liquor Hypermarket 
21809631,Outrite Africa
00469468,Rebhold Freight Services T/AContract Forwarding
21719985,Walcot Trading 
21661673,Cross Province Hauliers 
21788859,Onelogix Cargo Solutions 
DUMMY,RCG Default value for MPR messages
21801010,JCC Broker (Pty) Ltd
21824388,Avicape Forwarding
20936173,Arxo Logistics
00300346,South African Mercantile Corp.
01894343,Bay Shipping Pty Ltd
00441212,Mainport Africa Shipping
01507529,Diamond Shipping Services
21759991,Aurelia Trading
21416993,Daigon International
21799698,VRST International South Africa
01220549,Cross-World Freight
21529257,Cross Border Clearing And Forwarding
01746382,Patuma Freight
20355549,Heneways Logistics
21395671,Tidal Shipping
21747676,CZE Trading
ZZZ00128,Focus Freight International
00035537,Island View Storage T/A Bidvest Tank Terminals
21045910,Reliable Freight And Forwarding
21663048,Full Sail 1 Pty Ltd
ZZZ00088,Sharaf Shipping Agency Limited
01239192,Advancd Shipping Services
21591991,Morgan Cargo (KZN)
21583043,Morgan Cargo Express
21778560,Model Point Trading
20804157,Chromtech Holdings
20638590,Avio Clearing and Forwarding CC
01093046,Aviocean Natal CC
20337976,Roost Freight Services
21734494,Manta Freight Logistics CC
20219453,Culemborg Cargo And Container Terminal
20288076,BAL Logistics CC
21329543,Sky Air Freight
21728371,A And E Holdings
00454895,Torre Holdings T/A Torre Logistics
21809283,Kayalami Holding
20110525,Twala Global Cargo
20321086,Jetam Foreign Trade And Logistics
00393249,Jonen Freight (Pty) Ltd
21505457,Prince Minerals SA
21096235,Gly Africa
21697872,Siyazama Clearing Forwarding And Shipping Agency
20860191,DAL Agency
21112482,Nessi International Freight
ZZZ00131,South African Consolidators
21539723,Transaf Import And Export
21611026,WWW 365 Shipping
00431544,Anastasios Pavlidis T/A Transaf Imports and Exports
01829955,The Laser Transport Group
20507309,DSV South Africa (Pty) Ltd
ZZZ00132,USA Freight Forwarding Specialist
21844662,LSP Clearing And Forwarding
20683362,Calaska Trading 71 Pty Ltd t/a Disar
ZZZ00133,Tranzaction Trade Facilitation
20627628,Contour Logistics
20205631,Damco Logistics Pty Ltd
21721954,Tauone Trading
21738031,Customs Busters Consultancy And Logistics
21067262,Amoret Trading 51 T/A Victory Freight Services
21830719,Platinum Alliance Logistics
00206731,Pick N Pay Retailers
20908911,C4 Logistics
21740078,Skywaves Global Forwarding
21740191,Blue Shield Logistics
21266085,Mouse Logistics
21351538,Dite Consultancy
ZZZ00135,CNF Consulting And Freight Company
20564870,JH Logistics
01255668,Dragon Forwarding (Pty) Ltd
20779793,Aero Mar Freight
21820030,Zenith Sky
20746746,Pro Baggage Services
21137823,BDJ Freight International
21522287,Divergence Clearing And Forwarding
01903455,Freightnet Cargo Logistics
ZZZ00136,Riteway Freight
01784698,Lianna Investments
21862251,Izimphala
21397100,The Success Map T/A Saltrans Logistics
21346489,Espumati Construction
21870547,LTS Clearing
00721281,Nomad Freight (Pty) Ltd
20053880,Bettac Freight Logistics
01359853,Sky Freight
00090788,Council For Scientific & Industrial Research
01461281,Seamaster Maritime Pty Ltd
21853598,Care Freight Logistics
21049304,Uml Freight
20388983,Cosco Shipping Lines (South Africa)
21746157,Sha Sha Logistics
21856449,Connect Africa Logistics
20518350,F W Clearing And Forwarding
20195663,Incotrans
00998811,Blair Shipping Services
20666001,Outsource Logistics
20815581,Advanced Maritime Transports
01857395,Celtic Freight And Logistics
21375664,Dynamic Charisma Consulting
21688413,James Forwarding And Clearing
ZZZ00137,Symphony Forwarding
21465833,Gac Laser Specialised Logistics
21874313,Easy Route Logistics
21837020,THB Shipping And Logistic Solutions
20439319,CAL Freight CC
20001213,Jupiter Container Property
21406883,2013/174390/07 (South Africa) Pty Ltd T/A Freightd
20492533,Hapag - Lloyd Africa
21718393,Flyways International
ZZZ00138,Fenice Forwarding
20250713,Prime Logistic Solutions
21306570,Hornbill Holdings T/A Hornbill Freight Consulting
01847439,TD Shipping And Clearing
21407723,Feltra International Logistics
20701537,Prive Logistics
20446269,Henque 3658 T/A Freight Consultancy
ZZZ00139,Optima International Solutions
20606152,Hazmat Logistics Sa t/a Hazmat Global Support Services
20138169,Corsair Logistics (Pty) Ltd
21837578,J And H Holdings (Pty) Ltd
ZZZ00140,Diducento (Pty) Ltd
21521876,Alisped SA Pty Ltd
00506082,Pasiwa (Pty) Ltd
21008369,SGS Freight Services CC
00506694,Kenco Clearing and Forwarding CC
21695125,Trans Universal Consolidators (Cape) Pty Ltd
00832731,Javing Textile Sales And Manufacturing Representative (Pty) Ltd
20214079,Film Freight CC
20574778,Umongo Petroleum (Pty) Ltd
21522449,Gan Logistics (Pty) Ltd
21665644,Bsi Steel Exports (Pty) Ltd
20334306,Whammi Washers CC t/a Rex Freight Forwarders
21629498,Umkhanyisi Suppliers Cc
21722241,M6t Seal Cargo Services(Pty) Ltd
21583728,Seraj Transport (Pty) Ltd
00758697,Aeromaritime International Management Services (Pty) Ltd
21786244,Ananang Logistics Support Cc
01186168,Novotrans International Forwarders (Pty) Ltd
20445270,TWC Freight (Pty) Ltd
21080747,Hiranya Freight CC t/a K & H Logistics
21310029,Easy Freight
21586522,HTNS Africa
21823403,Clearing Dot Com
21584910,Lak Clearing Forwarding And Logistics
21886234,Iss Global Forwarding South Africa 
00170650,Insimbi Alloy Supplies
20550692,Asal Freight
20624116,Seabourne Inxpress Pty Ltd
21712875,Opinionated Trading Enterprise 80
01907868,Inhouse Ziegler Logistics
20397183,RNC Ships Agency Services (Pty) Ltd
21854012,Airland Logistics
01681024,L N Shipping
21882145,Crystal Express
21290021,Renocorp CC T/A Nicholson Shipping SA
21562811,Finex SA Logistics
21466643,Sundays River Citrus Company
21329039,Expolanka Freight
21064867,CGI Logistics (Pty) Ltd
20472399,Roadworld Clearing And Forwarding
00819583,Gaertner Exporters
21889204,Serfontein Logistics
21853393,Dash Global Freight (pty) Ltd
21438634,R.O.N South Africa
20932445,Comexas SA
21898687,Tricon Logistics
20105603,Sabona Freight Services Close Corporation
21349305,Kirispark
00158547,Cape Gate
01853284,Goreefers Logistics
21357080,D And A Shipping
20784354,Knd Investments CC T/A SLA Logistics
00616374,PA Cargo
01932169,Procet Freight
20445335,Altitude Freight
21467646,Multiglobal Shipping
21732548,Delta Logistics
21736241,Silapha Global Pty Ltd
ZZZ00141,Durban Coal Terminal Company
21094887,Sawab Freight Forwarders And Customs Consultants
21976190,Cupa (Pty) Ltd
21815109,Potenza Capital
21885594,Clearlog
21907314,Afri Asia International
20755101,Trg International Transport And Shipping
21906946,DLC Consulting
20206492,Success Logistical Support CC
21438944,Cypher Logistics
ZZZ00142,Auxano Logistics
ZZZ00143,Trade Like Solomon Dot Com
01754015,BRR And NGR Freight T/A Robertson Freight
ZZZ00144,Machau Shipping
01443862,Fairship (Pty) Ltd
21810310,Transglobal Africa Logistics
21904153,Mbuyazi Business Consultants
21932537,Ekklesia Shipping
21905230,Niyazi Express
00041684,Bridgestone South Africa
21768558,Marbisol Projekte
21929480,Transitex Clearing
21641275,Falcon Freight And Logistics
20291165,CRSS Clearing And Forwarding
21375877,Advance Freight
ZZZ00145,Ebenezer International Freight Forwarding
20717416,Aspiring Logistics Group
01043396,Kumara Freight CC
21928484,Kouabenan Holdings
21938394,Accolade Group
20869792,Auto Shipping Logistics
25401289,Kule Trans
25484322,NTN Shipping and Logistics
25166325,SRA Freight and Logistics
25486546,TDK Shipping
25490151,INSIGNIA FORWARDING and TRANSPORT
25490070,Mg Naidoo Freight (Pty) Ltd
21830123,G Idalene Accounting and Tax Services (Pty) Ltd
25490240,Smoolink Forwarding (Pty) Ltd
22035919,FML Freight Solutions
25500944,WSC Logistics South Africa
21975313,Sologistics
21387963,Contra Consolidations (Pty) Ltd
25510396,IM Bopape
25346516,Vuka Africa Ups and Generators Pty Ltd
25348636,C Mussmann
25093482,LT Logistics Solution
25475871,Mhisi Trading and Projects
00621601,Mediterranean Shipping Company Pty Ltd
25485906,Salt Logistics
25502289,African Empire Clearing and Forwarding
25465893,Cross-Country Procurements
25516505,39 Stripes Logistics
25369291,BB Trace (Pty) Ltd
21021177,Freightworx Cross Border Logistix
25518052,Above The Heaven (Pty) Ltd
25169502,Inter Continental Clearing and Forwarding
21714827,Native Link Broker (Pty)Ltd
25474417,Zee Global Network
25536754,Black Wulf Trading
25515487,Allcargo SA
20676499,Ancor Distribution Management (Pty) Ltd
25515517,Letalia Shipping
25474069,Madalitso Investments
21687271,Pentagon Freight Services Pty Ltd
25460174,Balgotrans Freight (Pty) Ltd
21776428,Smarties Logistics
25553512,FK Shipping
21605639,Africa Hops
25414541,Triton Bell Clearing and Forwarding (Pty) Ltd
25241603,Top Freight Clearing and Forwarding (Pty) Ltd
25447862,Transtrevo
25460875,Air-Partner-Ships
25541760,Millsway Clearing and Forwarding
01811852,C K Trading Enterprises cc
25553563,Alpha Consolidation and Transport Solutions
25574291,Cardinal Maritime Sa (Pty) Ltd
25565269,South Africa Ocean Shipping
20402613,ECU Worldwide South Africa (Pty) Ltd
21697225,Freight Partners(Pty)Ltd
25323201,Intercontinental Shipping (Pty) Ltd
25549885,Exodus Freight
25571381,Hidden Cargo Logistics
25579234,Thrutainers International (Pty) Ltd
25580533,ACM Lines (Pty)Ltd
25582226,Dagbreek Joint Venture
25582250,Samrock Joint Venture
21813149,Coin De Mire Logistics (Pty) Ltd
25581955,CNF Consulting and Freight Company(Pty) Ltd
25577797,Charter Link Logistics South Africa
25433714,Fikwan Logistics
21062015,LS Shipping Cc
20322661,Aviocean (Cape Town) (Pty) Ltd
25242758,Converse Clearing and Forwarding
21812259,ATD Logistics (Pty) Ltd
25384701,Tshivhase Border Freight Clearance Services
25580541,World Groupage Services Cape (Pty) Ltd
21408142,Manora Sa (Pty Ltd
25027109,M Power Transport (Pty) Ltd
25563770,Freight Science
20514517,Worldlink Express (Pty) Ltd
25611507,United-Maritime -Logistics Pty Ltd
25602347,Stalana Shipping
25408089,Seatram Sea And Air Pty Ltd
25594339,Vanguard Logistics Services (Pty) Ltd
ZAEQ,Stalana Shipping
25453292,Swiftline Logistics SA
21916108,K2015146110 (South Africa)(Pty)Ltd
25550424,Streamline Logistic Services
21750749,Arch International Logistics (Pty) Ltd
25576103,Falko Global
25243797,Seven Seas Worldwide Distributors (Pty) Ltd
25593898,Kainos Global Logistics
25514200,ZA Global Logistics
21155021,Afropulse 478 (Pty) Ltd
25644933,Exponential FMCG
25105216,Aseco Container Services (Pty) Ltd
21979246,Livance Distributors
25632634,Steel Beyond Freight and Logistics
25649595,JT Freight and Logistics (Pty) Ltd
25649250,Makhonis Freight and Logistics Co (Pty) Ltd
25530360,Transworld Cargo (Pty) Ltd 
25366853,Specialty Minerals South Africa Pty Ltd
25647525,Gaia Global Solutions
25647398,AT Mathope
25656094,Venmcq Solution
00982029,Quality Tube Services Cc
01821962,Premier Fishing Sa Pty Ltd
25163032,Timeworth Trading (Pty) Ltd
25651890,Bemfar Enterprise
01910043,Graphix Supply World (Pty) Ltd
25149848,Fusion Dispatch Center
21865242,The4x4store (Pty) Ltd
25660406,Shinrai
25446688,African Logistics and Shipping SA
25670634,I-BA Holdings
21788005,Gogo Logistics (Pty) Ltd
25271976,Optima International Solutions (Pty) Ltd
20311308,Freight Ahead Pty Ltd
25548653,JB Logistics Solutions
01904672,Wilhelmsen Ships Service Pty Ltd
20350008,Silver Falcon Trading 176 (Pty) Ltd
21530823,Skynet South Africa (Pty) Ltd
25675003,Anchorth
25479737,Raptor Freight
25686063,Beyond Horizon Shipping
25652498,EJ S Freight Consultancy
20392718,Kelly Marine Cc
21418732,Intercross Management
21458486,Best Of the Best Clearing Agents
25183376,2020 Logistics and Services
20448776,Provimar Ship Suppliers Cc
20659049,Moth Hall Interiors Cc
25640954,X-Impo Clearing and Logistics Services
25589271,B2C Logistics (Pty) Ltd
25692011,Proclear and Forwarding
25650185,Umhlaba Fuels and Logistics (Pty) Ltd
25133357,Wilred Holding SA
25655284,Reid Innovations (Pty) Ltd
01191381,Consortium Shipping Holdings Pty Ltd
25252388,BMG Shipping
QDC,Quadra Commodities SA
25721432,African Alliance Freight
25361517,Across Borders Clearing Agency
21055060,Cjnuma Import And Export
25725950,Redgriffin International (Pty) Ltd
25727406,Wilred Diesel (Pty) Ltd
00718567,Zedcore
25383357,Zenith Corporation
21916266,Meades Knives
25734169,Cargo World
21824795,R and S Freight and Logistics
25688333,Rockwood International Freight
25720695,Thandani Supply Services
21970737,Afrowagen Pty Ltd
21785574,CBS Africa
25682149,Ocean Wide Trade and Logistics
25739373,SMZ Shipping
25737036,Beyond Freight Solutions
25747065,Globaltrade Customs
21954136,Metallurgza
01929266,Khuluma Freight Services
25756381,Pulse Logistics Clearing and Forwarding ZA
20663673,Black Dot Investments
01790271,Ibhayi Clearing & Logistics
25754869,Mzett Financial Solutions
25433854,Ducat Logistics (Pty) Ltd
25645751,Envision Maritime (Pty) Ltd
01728041,International Freight Services South Africa (Pty) Ltd
25653494,Earth Logistics C And L
25770862,Som Oils
25778308,Kamza Projects
25160254,Stokvest Impex Logistics
25746263,Mandla Logistics and Energy Group
25453896,Plus0 (Pty) Ltd
21703753,Sea To Sky Freight Solutions
21402411,One Take Trading Cc
25421687,CTS International Logistics South Africa
25655071,Apex Freight Forwarders
25799621,Tahani Business Enterprise (Pty) Ltd
25577452,Cloud Logistics Group
